40,Washington Park
67,West Englewood
54,Riverdale
44,Chatham
68,Englewood
37,Fuller Park
26,West Garfield Park
29,North Lawndale
69,Greater Grand Crossing
71,Auburn Gresham
49,Roseland
23,Humboldt Park
43,South Shore
27,East Garfield Park
50,Pullman
46,South Chicago
38,Grand Boulevard
45,Avalon Park
42,Woodlawn
73,Washington Heights
25,Austin
61,New City
51,South Deering
53,West Pullman
66,Chicago Lawn
47,Burnside
48,Calumet Heights
35,Douglas
32,Loop
20,Hermosa
28,Near West Side
57,Archer Heights
19,Belmont Cragin
30,South Lawndale
24,West Town
6,Lake View
34,Armour Square
13,North Park
14,Albany Park
22,Logan Square
31,Lower West Side
70,Ashburn
1,Rogers Park
63,Gage Park
36,Oakland
8,Near North Side
41,Hyde Park
62,West Elsdon
59,McKinley Park
16,Irving Park
75,Morgan Park
21,Avondale
58,Brighton Park
3,Uptown
72,Beverly
7,Lincoln Park
15,Portage Park
60,Bridgeport
56,Garfield Ridge
2,West Ridge
39,Kenwood
5,North Center
33,Near South Side
65,West Lawn
55,Hegewisch
77,Edgewater
64,Clearing
52,East Side
11,Jefferson Park
18,Montclare
76,O’Hare
4,Lincoln Square
12,Forest Glen
17,Dunning
10,Norwood Park
74,Mount Greenwood
9,Edison Park
